,ip,port
0,110.137.118.228,8080
1,182.253.173.36,8080
2,104.171.124.68,8080
3,183.88.129.123,8080
4,172.104.164.251,8080
5,139.192.139.147,8080
6,85.105.38.147,80
7,181.3.199.166,7071
8,78.188.173.54,8080
9,114.5.97.138,8080
10,110.168.25.228,8080
11,110.39.175.2,8080
12,187.86.158.117,3128
13,183.88.30.203,8080
14,139.194.35.174,8080
15,223.204.90.35,8080
16,200.69.86.195,999
17,125.164.126.33,3128
18,125.17.80.226,8080
19,188.166.250.18,3128
20,36.76.143.115,8080
21,87.107.64.91,8080
22,103.74.245.46,8080
23,103.149.142.42,8080
24,78.106.72.22,8080
25,183.88.94.205,8080
26,1.20.211.55,8080
27,118.99.124.212,8080
28,110.77.246.228,8080
29,200.219.152.226,80
30,202.70.84.201,8080
31,36.74.220.248,8080
32,37.205.48.116,8080
33,188.127.236.60,8080
34,95.174.67.50,18080
35,191.235.110.35,80
36,201.174.173.4,999
37,31.40.136.215,53281
38,191.232.179.185,8080
39,181.225.106.150,999
40,186.93.163.119,8080
41,180.245.163.217,8080
42,109.167.141.137,8080
43,14.207.43.90,8080
44,197.56.62.4,8080
45,103.52.221.33,83
46,118.99.98.119,8080
47,177.190.177.145,8080
48,94.103.32.127,8080
49,182.253.169.7,8080
50,79.127.58.218,8080
51,36.92.93.61,8080
52,51.38.99.136,3128
53,49.48.101.65,8080
54,113.53.60.255,8080
55,181.6.120.37,7071
56,201.166.181.9,8080
57,14.207.147.58,8080
58,176.107.221.22,53281
59,110.168.213.31,8080
60,148.255.136.48,999
61,85.133.183.66,8080
62,45.250.226.14,8080
63,45.162.130.16,8080
64,103.209.131.3,8080
65,202.138.239.188,8080
66,46.48.198.130,8080
67,178.208.131.68,8080
68,139.180.138.184,8000
69,103.250.69.233,8080
70,91.210.136.202,8080
71,14.207.0.100,8080
72,181.225.73.5,8080
73,62.4.31.164,3128
74,102.67.19.132,8080
75,191.232.170.36,80
76,103.142.57.28,53281
77,36.232.115.95,8080
78,13.76.195.117,8080
79,103.66.199.108,3128
80,185.255.46.141,8080
81,36.94.58.10,8080
82,80.93.212.42,3128
83,193.233.71.69,8080
84,51.223.200.5,8080
85,84.52.80.35,8080
86,118.99.103.169,8080
87,103.123.246.54,8080
88,197.59.52.170,8080
89,154.117.176.102,23500
90,186.148.169.34,999
91,14.207.45.63,8213
92,125.26.93.18,8080
93,36.94.9.232,8080
94,103.94.7.254,53281
95,191.97.41.97,23500
96,103.127.65.246,8080
97,146.196.109.74,8080
98,95.79.36.55,44861
99,36.68.164.226,8080
100,149.248.14.146,3128
101,41.193.97.7,8080
102,36.66.19.10,8080
103,202.142.155.90,8080
104,194.28.68.115,8081
105,45.71.150.48,8080
106,191.97.16.1,999
